product_id,product_name,category,price,product_url,description,front_image_url,model_image_url,additional_images
product_1,Bodycare,Capris,MRP₹ 415,https://www.myntra.com/capris/bodycare/bodycare-girls-printed-mid-rise-cotton-capris/23934942/buy,"Fuchsia and white mid-rise printed capris, waistband with slip-on closure",,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23934942/2023/7/8/416c7f67-7f5b-4a7f-9837-7eeff80670041688820082792BodycareGirlsFuchsiaWhitePrintedCapris3.jpg","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23934942/2023/7/8/c3ff05ad-0e3d-4e44-97e1-c9ca1663ea2c1688820082779BodycareGirlsFuchsiaWhitePrintedCapris1.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23934942/2023/7/8/288c0242-b5b3-4f2a-8ad6-e09250b13acb1688820082765BodycareGirlsFuchsiaWhitePrintedCapris2.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23934942/2023/7/8/416c7f67-7f5b-4a7f-9837-7eeff80670041688820082792BodycareGirlsFuchsiaWhitePrintedCapris3.jpg"
product_2,Bodycare,Capris,MRP₹ 355,https://www.myntra.com/capris/bodycare/bodycare-girls-mid-rise-regular-fit-cotton-capris/24509288/buy,"Black mid-rise solid capris, waistband with slip-on closure",,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24509288/2023/8/16/95d925b4-8069-43fc-afd8-7dc5d0fbd9471692166100418BodycareGirlsSolidCapriPackOf1-Black3.jpg","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24509288/2023/8/16/bc6ecf23-ce81-4439-8360-ea82949e8ef81692166100401BodycareGirlsSolidCapriPackOf1-Black1.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24509288/2023/8/16/ab68e935-d1c2-463a-bdb8-ffa545790f891692166100385BodycareGirlsSolidCapriPackOf1-Black2.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24509288/2023/8/16/95d925b4-8069-43fc-afd8-7dc5d0fbd9471692166100418BodycareGirlsSolidCapriPackOf1-Black3.jpg"
product_3,Van Heusen,Capris,₹607,https://www.myntra.com/capris/van+heusen/van-heusen-women-capris/15347568/buy,"Blue mid-rise solid capris, waistband with drawstring closure, 2 pocket

Special features:
The modern racerback tank makes you effortlessly stylish. It is tagless and made with combed cotton, can be layered on or worn alone for all day comfort. Colour Fresh Technology allows the tank to look newer and brighter for longer.
1. Cotton Stretch: Easy to flex, the stretchable fabric construction enhances comfort and flexibility and allows ease in movement.
2. Elasticized Waist: The Elasticized Waist feels soft against the skin and keeps you comfortable for hours
3. Reflective Trims: The reflective accents improve the visibility in the dark and adds an athletic flair to the lounge capris.
4. Functional Pockets: The pockets are easy to use and can carry your essentials on the go. This further improves the functionality of the lounge capris.5.
6. Soft Handfeel: The fabric is extremely soft and comfortable, keeping you at ease for hours.",,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15347568/2021/11/10/7157400c-a9a3-41b5-8e04-cf7847b318151636548014651VanHeusenBreathableStretchCapriILCP1LWSPWDB553094.jpg","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15347568/2021/11/10/88b26ddc-c703-4930-b408-ad13805717281636548014227VanHeusenBreathableStretchCapriILCP1LWSPWDB553091.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15347568/2021/11/10/d1dee19a-64a1-4ce7-a29c-9f51e602152f1636548014358VanHeusenBreathableStretchCapriILCP1LWSPWDB553092.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15347568/2021/11/10/95b6a413-bb85-4523-a749-f1baadd6d8041636548014514VanHeusenBreathableStretchCapriILCP1LWSPWDB553093.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15347568/2021/11/10/7157400c-a9a3-41b5-8e04-cf7847b318151636548014651VanHeusenBreathableStretchCapriILCP1LWSPWDB553094.jpg"
product_4,Blissclub,Capris,₹889,https://www.myntra.com/capris/blissclub/blissclub-women-sangria-high-waist-the-ultimate-capris-with-2-pockets/16334736/buy,"Burgundy high-rise solid three-fourth tights, has a waistband with slip-on closure, 2 pocket\

Features:
The Ultimate Capris is made with our signature CloudSoft fabric that is super soft on the body. It provides extra stretch and compression too.
It is super high-waist, calf-length and comes with two pockets.The unique tight knitting technique prevents transparency, making The Ultimate Capris 100% squat-proof. The wide waistband gives a good fit and the crotch gusset avoids cameltoe.",,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16334736/2022/11/26/b3e4aad9-7d1a-49bf-aadf-17f256321e291669458585456-BlissClub-Women-Sangria-High-Waist-The-Ultimate-Capris-with--3.jpg","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16334736/2022/11/30/a882f4aa-3ab3-425b-9750-767f4e8f71151669782358276-BlissClub-Women-Sangria-High-Waist-The-Ultimate-Capris-with--7.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16334736/2022/11/26/757f882d-6e55-4bd5-b233-6669fea81de51669458585476-BlissClub-Women-Sangria-High-Waist-The-Ultimate-Capris-with--1.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16334736/2022/11/26/96d5373f-b575-4d8c-a406-a0d3a22af2201669458585465-BlissClub-Women-Sangria-High-Waist-The-Ultimate-Capris-with--2.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16334736/2022/11/26/b3e4aad9-7d1a-49bf-aadf-17f256321e291669458585456-BlissClub-Women-Sangria-High-Waist-The-Ultimate-Capris-with--3.jpg"
product_5,Jockey,Capris,MRP₹ 1299,https://www.myntra.com/capris/jockey/jockey-microfiber-stretch-slim-fit-capri-with-back-waistband-mw36/26811184/buy,"Breathable Mesh for Enhanced Cooling
StayFresh Treatment with Antimicrobial Properties to Help You Stay Fresh Throughout the Day
StayDry Treatment with Additional Evaporation Properties to Help You Stay Dry Throughout the Day
Smartfabric - Takes Quality and Comfort to the Next Level
Slim Fit
Reflective Branding
Back Waistband Pocket
Broad Waistband
Label Free for All Day Comfort",,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26811184/2024/1/30/8025270f-3e2d-41c1-85ae-9e46e87e813b1706599858882-Jockey-Abstract-Printed-Slim-Fit-Stay-Dry-Technology-Microfi-4.jpg","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26811184/2024/1/30/5d829426-a00a-4d20-aa58-3e4b27422a741706599858901-Jockey-Abstract-Printed-Slim-Fit-Stay-Dry-Technology-Microfi-1.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26811184/2024/1/30/9f7b660a-492e-40c6-963d-5b2a450180771706599858895-Jockey-Abstract-Printed-Slim-Fit-Stay-Dry-Technology-Microfi-2.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26811184/2024/1/30/04e6b411-bd4d-4a80-b637-e267950bc22a1706599858889-Jockey-Abstract-Printed-Slim-Fit-Stay-Dry-Technology-Microfi-3.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26811184/2024/1/30/8025270f-3e2d-41c1-85ae-9e46e87e813b1706599858882-Jockey-Abstract-Printed-Slim-Fit-Stay-Dry-Technology-Microfi-4.jpg"
product_6,CUPID,Capris,₹895,https://www.myntra.com/capris/cupid/cupid-women-black-capris/20243668/buy,"Black mid-rise solid capris, waistband with drawstring closure, 2 pocket",,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20243668/2025/2/26/4cfb20c0-d33c-4de7-af6f-c4870d8660161740590550287-CUPID-Women-Black-Capris-4611740590549915-4.jpg","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20243668/2025/2/26/813bad8a-8119-4764-a34e-2258147aeb251740590550418-CUPID-Women-Black-Capris-4611740590549915-1.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20243668/2025/2/26/1de76ecd-1397-4563-bf2e-c415859e98af1740590550375-CUPID-Women-Black-Capris-4611740590549915-2.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20243668/2025/2/26/6fcdddb4-24ac-406c-bd02-412794f9140f1740590550330-CUPID-Women-Black-Capris-4611740590549915-3.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20243668/2025/2/26/4cfb20c0-d33c-4de7-af6f-c4870d8660161740590550287-CUPID-Women-Black-Capris-4611740590549915-4.jpg"
product_7,Amydus,Capris,₹1939,https://www.myntra.com/capris/amydus/amydus-women-plus-size-navy-blue-solid-skinny-fit-capris/12819802/buy,"Navy Blue high-rise solid Capris, slip-on closure, and 2 pockets",,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/10/23/4fb163e5-31e4-40d1-92da-915df1fd5a1d1603403927916-4.jpg","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/10/23/93830304-df6f-43ae-a77b-de2643aa5dfb1603403927760-1.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/10/23/6b113c14-305b-46f2-be45-72a810aa01201603403927817-2.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/10/23/0f733504-9087-4b30-b06f-b09785fec6981603403927869-3.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2020/10/23/4fb163e5-31e4-40d1-92da-915df1fd5a1d1603403927916-4.jpg"
product_8,Modeve,Capris,₹567,https://www.myntra.com/capris/modeve/modeve-women-pack-of-2-grey--burgundy-capris/17318694/buy,"Pack of 2Grey and burgundy mid-rise solid capris, waistband with drawstring closure, 2 pocket",,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17318694/2022/2/27/13f4773c-0003-4c13-a2a8-8ac5d4f5762c1645939312829ModeveWomenMultiCapris4.jpg","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17318694/2022/2/27/cffcd3a6-37f6-44d5-8b4d-79150c0b37eb1645939312821ModeveWomenMultiCapris1.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17318694/2022/2/27/2b694b44-0a7f-4993-bb86-e079ed88db311645939312853ModeveWomenMultiCapris2.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17318694/2022/2/27/2ddcf4c2-b2e4-4ddd-984d-7e7247a8218a1645939312837ModeveWomenMultiCapris3.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17318694/2022/2/27/13f4773c-0003-4c13-a2a8-8ac5d4f5762c1645939312829ModeveWomenMultiCapris4.jpg"
product_9,Enamor,Capris,₹836,https://www.myntra.com/capris/enamor/enamor-women-mid-rise-straight-leg-lounge-capris-e018-/7590800/buy,"Charcoal grey solid mid-rise lounge capris, has 2 concealed zip pockets, has an elasticated waistband with adjustable drawstring closure

Features
These cotton capris are high on style and comfort. They are fashioned with an adjustable drawstring that is dyed to match the elasticated waistband for a smart look.
Stretch Cotton Jersey: This lightweight, soft, and breathable fabric will keep you comfortable all day.
Comfortable Fit: Gently hugs the hips and fits straight along the legs.
Slim Fit: This fit provides a comfortable embrace, holds you close, and moves with you, keeping you comfortable as you go about your day.
Adjustable Drawstring Waist: Allows you to customise your fit.
Zipper Pockets: The invisible, functional zipper pockets enable you to stash your essentials.",,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7590800/2018/11/2/8c67b64c-5d01-46e6-ae70-6d38d8ab4bb01541153087762-Enamor-Women-Charcoal-Solid-Slim-Fit-Capris-6381541153086495-3.jpg","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7590800/2018/11/2/ce97ea3d-d405-4050-888e-3a9fe05f0d1e1541153087788-Enamor-Women-Charcoal-Solid-Slim-Fit-Capris-6381541153086495-1.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7590800/2018/11/2/c8d769ea-b856-47ed-9754-d42f191c038a1541153087773-Enamor-Women-Charcoal-Solid-Slim-Fit-Capris-6381541153086495-2.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7590800/2018/11/2/8c67b64c-5d01-46e6-ae70-6d38d8ab4bb01541153087762-Enamor-Women-Charcoal-Solid-Slim-Fit-Capris-6381541153086495-3.jpg"
product_10,Modeve,Capris,₹567,https://www.myntra.com/capris/modeve/modeve-women-pack-of-2-grey--teal-blue-capris/17318714/buy,"Pack of 2 grey and teal blue mid-rise solid capris, waistband with drawstring closure, 2 pocket",,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17318714/2022/2/27/59d599ad-dfd9-4753-9715-385d3981bd5a1645904538318ModeveWomenMultiCapris4.jpg","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17318714/2022/2/27/53432545-0426-4569-b225-20684ce6887b1645904538342ModeveWomenMultiCapris1.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17318714/2022/2/27/ba4653ff-cdac-4204-8ba2-8c6b7126487c1645904538334ModeveWomenMultiCapris2.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17318714/2022/2/27/416a0b87-a9b2-4f2a-964c-6d0edadba1cc1645904538351ModeveWomenMultiCapris3.jpg;https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17318714/2022/2/27/59d599ad-dfd9-4753-9715-385d3981bd5a1645904538318ModeveWomenMultiCapris4.jpg"
